 	0
辣味	1050
可乐	1051
鲍鱼	1052
芝麻	1053
成都	1054
天气	1055
店铺	1056
油条	1057
沾	1058
半价	1059
麻酱	1060
丁	1061
凉拌	1062
稍	1063
齐全	1064
熟	1065
足够	1066
星巴克	1067
布置	1068
木耳	1069
摆	1070
嘈杂	1071
粒	1072
鸡排	1073
一股	1074
地铁	1075
亲切	1076
车	1077
打算	1078
累	1079
体验	1080
鳕鱼	1081
从来	1082
客户	1083
变	1084
收	1085
三明治	1086
麦当劳	1087
68	1088
南京	1089
一锅	1090
明白	1091
凤爪	1092
很饱	1093
人太多	1094
土豆泥	1095
差点	1096
鲜嫩	1097
嘻嘻	1098
惬意	1099
牛舌	1100
系列	1101
个人感觉	1102
吃不完	1103
靠窗	1104
过生日	1105
剩	1106
吃个	1107
涨	1108
包括	1109
提醒	1110
盐	1111
造型	1112
羊排	1113
要点	1114
收费	1115
音乐	1116
打电话	1117
鲶鱼	1118
主打	1119
中式	1120
蚊	1121
款式	1122
第二天	1123
特色菜	1124
港式	1125
开车	1126
杏仁	1127
烤鸡	1128
便	1129
撕	1130
可怜	1131
家门口	1132
参加	1133
点儿	1134
过程	1135
诱人	1136
陪	1137
88	1138
高档	1139
木瓜	1140
早就	1141
饭菜	1142
大学	1143
茶餐厅	1144
22	1145
没点	1146
当天	1147
地点	1148
天天	1149
停	1150
结婚	1151
饮品	1152
味精	1153
馒头	1154
点餐	1155
不敢恭维	1156
挂	1157
买点	1158
折扣	1159
好大	1160
pizza	1161
爽	1162
鱼丸	1163
忍不住	1164
鸭子	1165
豆沙	1166
材料	1167
火候	1168
改进	1169
依然	1170
大部分	1171
草莓	1172
烂	1173
烧鹅	1174
多人	1175
有点儿	1176
桌上	1177
丸	1178
到底	1179
新疆	1180
蟹粉	1181
子	1182
椒盐	1183
情调	1184
人员	1185
多点	1186
红酒	1187
杭州	1188
有没有	1189
不小	1190
辣酱	1191
一瓶	1192
嘴里	1193
经济	1194
象	1195
舒适	1196
失败	1197
连锁	1198
爸爸	1199
香肠	1200
后悔	1201
表演	1202
最爱	1203
不爽	1204
最低	1205
开胃	1206
素	1207
切	1208
做好	1209
几年	1210
放心	1211
湘菜	1212
一会儿	1213
一堆	1214
期间	1215
不去	1216
服务费	1217
男朋友	1218
球	1219
肉丝	1220
强烈推荐	1221
80	1222
老店	1223
转	1224
韭菜	1225
圈	1226
有点咸	1227
DP	1228
餐	1229
过年	1230
o	1231
山药	1232
包菜	1233
云吞	1234
不得不	1235
喝酒	1236
安排	1237
贴心	1238
双皮奶	1239
营业	1240
回味	1241
孩子	1242
老爸	1243
图片	1244
特地	1245
赠送	1246
没法	1247
碟	1248
好似	1249
黑椒	1250
标准	1251
装潢	1252
点点	1253
大小	1254
符合	1255
怀疑	1256
偏贵	1257
肉松	1258
缺点	1259
油炸	1260
焖	1261
水饺	1262
北方	1263
墙上	1264
装饰	1265
露天	1266
电梯	1267
d	1268
火爆	1269
底	1270
姐姐	1271
撒	1272
要说	1273
氛围	1274
肉夹馍	1275
调	1276
厕所	1277
小姑娘	1278
大多	1279
反而	1280
腿	1281
牛柳	1282
包装	1283
偏甜	1284
到处	1285
吃不下	1286
酸梅汤	1287
白色	1288
周边	1289
香蕉	1290
受不了	1291
茶水	1292
麻烦	1293
晕	1294
团	1295
拌面	1296
食客	1297
58	1298
肥	1299
白	1300
没人	1301
门	1302
上网	1303
十足	1304
天津	1305
约会	1306
吃点	1307
美	1308
不得了	1309
甜味	1310
坐坐	1311
重庆	1312
咩	1313
细腻	1314
挺大	1315
气	1316
香草	1317
藕	1318
下饭	1319
留下	1320
买过	1321
85	1322
香菜	1323
恶心	1324
鸡腿	1325
淡淡的	1326
经营	1327
耐心	1328
层	1329
城	1330
之间	1331
明明	1332
60	1333
珍珠	1334
一如既往	1335
炒面	1336
有次	1337
西瓜	1338
出名	1339
木有	1340
很辣	1341
手机	1342
设施	1343
路边	1344
两人	1345
家乐福	1346
西安	1347
很脆	1348
仔	1349
嗲	1350
厉害	1351
推出	1352
吃掉	1353
内容	1354
面粉	1355
菜馆	1356
绿茶	1357
菜肴	1358
烤串	1359
关门	1360
再来	1361
咁	1362
肠粉	1363
小食	1364
肥肉	1365
盘	1366
一年	1367
旧	1368
连锁店	1369
香锅	1370
囧	1371
几块	1372
感受	1373
饼干	1374
讲究	1375
鲈鱼	1376
DQ	1377
男	1378
月饼	1379
凉皮	1380
碰到	1381
有种	1382
很爽	1383
清蒸	1384
喊	1385
记忆	1386
铺	1387
半	1388
晓得	1389
羹	1390
市场	1391
馅料	1392
卤	1393
真不错	1394
原本	1395
走进	1396
一款	1397
生活	1398
已	1399
零食	1400
怪	1401
营养	1402
裹	1403
家庭	1404
冻	1405
回忆	1406
坏	1407
价格便宜	1408
软软	1409
太大	1410
不好意思	1411
抱	1412
一间	1413
慕名	1414
商家	1415
盖浇饭	1416
等到	1417
好友	1418
蛋黄	1419
小小	1420
清汤	1421
墨鱼	1422
呷	1423
煲仔饭	1424
咗	1425
找个	1426
椅子	1427
起码	1428
青椒	1429
馆	1430
24	1431
汤头	1432
小龙虾	1433
仙草	1434
幸福	1435
多年	1436
离开	1437
PS	1438
粉丝汤	1439
柜台	1440
武汉	1441
非	1442
周六	1443
老师	1444
兴趣	1445
脸	1446
早茶	1447
小心	1448
菠菜	1449
臭豆腐	1450
冷清	1451
胡萝卜	1452
仔细	1453
一盒	1454
女	1455
海带	1456
13	1457
风景	1458
苏州	1459
力	1460
宾馆	1461
端	1462
铁	1463
不停	1464
大排档	1465
面积	1466
娃娃	1467
火烧	1468
搬	1469
合算	1470
那次	1471
公园	1472
广告	1473
來	1474
制作	1475
座	1476
提高	1477
弹性	1478
结帐	1479
快餐店	1480
面食	1481
独特	1482
鲜肉	1483
好玩	1484
熟悉	1485
电视	1486
奶	1487
毛血旺	1488
婚礼	1489
值	1490
炸酱面	1491
错过	1492
四川	1493
优雅	1494
懂	1495
一盆	1496
担心	1497
核桃	1498
自制	1499
无奈	1500
东北菜	1501
上桌	1502
很难	1503
理解	1504
程度	1505
水晶	1506
偏咸	1507
用料	1508
卫生间	1509
喝茶	1510
没事	1511
号称	1512
来讲	1513
胃	1514
牛仔	1515
酸酸甜甜	1516
恩	1517
常去	1518
是从	1519
供应	1520
小锅	1521
超值	1522
坐满	1523
典型	1524
饺	1525
小聚	1526
深圳	1527
怪怪的	1528
不远	1529
鱼翅	1530
公道	1531
糕点	1532
辣辣的	1533
海底	1534
多种	1535
创意	1536
单	1537
永远	1538
休闲	1539
领导	1540
一试	1541
想着	1542
肥肠	1543
旅游	1544
鲜虾	1545
化	1546
员工	1547
大锅	1548
听到	1549
万达	1550
占	1551
肉类	1552
洗手间	1553
招呼	1554
二	1555
商品	1556
定位	1557
焦糖	1558
孜然	1559
懒得	1560
完后	1561
饮	1562
几样	1563
领班	1564
菜价	1565
啃	1566
素质	1567
神马	1568
浓浓的	1569
拿到	1570
噢	1571
细	1572
还算	1573
晒	1574
外地	1575
小区	1576
大大的	1577
一段时间	1578
农家	1579
拼	1580
试吃	1581
加点	1582
碎	1583
玻璃	1584
小份	1585
螃蟹	1586
大虾	1587
广东	1588
做成	1589
洗	1590
吹	1591
很淡	1592
蜂蜜	1593
豆角	1594
酥脆	1595
酸甜	1596
抢	1597
糖醋	1598
等待	1599
好点	1600
无功	1601
几口	1602
三楼	1603
外加	1604
一件	1605
300	1606
深	1607
搭	1608
无过	1609
帮忙	1610
靠近	1611
宫保鸡	1612
里边	1613
很久没	1614
两家	1615
血	1616
培训	1617
聊聊天	1618
尚可	1619
几种	1620
羊蝎子	1621
蒜蓉	1622
心	1623
超好	1624
百叶	1625
春卷	1626
乳鸽	1627
当地	1628
出差	1629
桌椅	1630
有待	1631
红色	1632
火腿	1633
鲜味	1634
做饭	1635
来过	1636
名气	1637
外皮	1638
令人	1639
意外	1640
大盘鸡	1641
一路	1642
出门	1643
西红柿	1644
太高	1645
喔	1646
35	1647
台	1648
点半	1649
00	1650
积分	1651
赶紧	1652
餐饮	1653
双拼	1654
女孩子	1655
人来	1656
小朋友	1657
之外	1658
保证	1659
结束	1660
一番	1661
王	1662
厅	1663
前台	1664
好几个	1665
整洁	1666
豪华	1667
太差	1668
退	1669
韩式	1670
紫菜	1671
调味	1672
只不过	1673
长时间	1674
却是	1675
中餐	1676
外国人	1677
盒子	1678
依旧	1679
哺	1680
客气	1681
19	1682
猪手	1683
再点	1684
回到	1685
凉粉	1686
闻到	1687
土豆丝	1688
第一个	1689
日料	1690
感	1691
滋味	1692
烤羊	1693
气派	1694
肉酱	1695
重点	1696
医院	1697
半小时	1698
进口	1699
脆皮	1700
清	1701
完美	1702
奶味	1703
夫妻	1704
笑	1705
咸菜	1706
豆花	1707
西餐厅	1708
刷	1709
炒年糕	1710
T	1711
乳酪	1712
扒	1713
距离	1714
事先	1715
改良	1716
声音	1717
价	1718
促销	1719
评论	1720
芋头	1721
发	1722
对得起	1723
饭后	1724
汁水	1725
海参	1726
一串	1727
马路	1728
最早	1729
现场	1730
价格比	1731
垃圾	1732
首选	1733
香浓	1734
绿色	1735
茶树菇	1736
时尚	1737
14	1738
加热	1739
一根	1740
麻麻	1741
吃不出	1742
不惯	1743
餐前	1744
煎饼	1745
馋	1746
意面	1747
书	1748
章鱼	1749
提	1750
城市	1751
离家近	1752
款	1753
肉片	1754
主菜	1755
云南	1756
98	1757
一下子	1758
受欢迎	1759
0	1760
表扬	1761
大厦	1762
新店	1763
位于	1764
日子	1765
出彩	1766
卤肉饭	1767
唱	1768
腊肉	1769
豆	1770
面馆	1771
瓶	1772
减肥	1773
酒楼	1774
鞋子	1775
用心	1776
红茶	1777
支持	1778
印度	1779
不让	1780
香芋	1781
葱	1782
大块	1783
吾	1784
日本料理	1785
睇	1786
鲜榨	1787
金	1788
式	1789
小点心	1790
差距	1791
一碟	1792
最深	1793
說	1794
超过	1795
菌菇	1796
瘦肉粥	1797
三杯	1798
牛杂	1799
诱惑	1800
雪	1801
还给	1802
无比	1803
形容	1804
驴肉	1805
盖饭	1806
甜甜	1807
处	1808
狮子头	1809
水煮	1810
网	1811
美女	1812
五星级	1813
腥味	1814
再次	1815
一吃	1816
添加	1817
精品	1818
酸酸的	1819
生鱼片	1820
不来	1821
男生	1822
楼梯	1823
鸳鸯	1824
距	1825
菜系	1826
粘	1827
房	1828
跟着	1829
小孩	1830
记住	1831
新品	1832
空	1833
地儿	1834
苦	1835
会员	1836
改善	1837
摩卡	1838
黑胡椒	1839
翻	1840
好些	1841
发型师	1842
香甜	1843
负责	1844
浇头	1845
桂林	1846
买来	1847
係	1848
某人	1849
旺	1850
无语	1851
贴	1852
泡饭	1853
队	1854
按摩	1855
夜宵	1856
放弃	1857
一流	1858
几好	1859
再也不会	1860
爆	1861
讨厌	1862
外带	1863
没见	1864
但系	1865
蟹黄	1866
风	1867
差别	1868
抓	1869
粉条	1870
身上	1871
吉野家	1872
纯正	1873
随意	1874
清香	1875
喝完	1876
满满的	1877
周五	1878
打开	1879
小资	1880
回答	1881
酸辣粉	1882
苍蝇	1883
买个	1884
黄油	1885
光	1886
空气	1887
苹果	1888
蛙	1889
芹菜	1890
管理	1891
有空	1892
好评	1893
幸好	1894
毛	1895
亮点	1896
太好了	1897
松软	1898
肉饼	1899
羊	1900
店主	1901
地瓜	1902
停车场	1903
虾肉	1904
臭	1905
菜名	1906
酥皮	1907
不难	1908
唱歌	1909
不錯	1910
记	1911
寸	1912
很旺	1913
夸张	1914
豆皮	1915
奶昔	1916
一行	1917
荤	1918
肠	1919
导致	1920
猪蹄	1921
45	1922
点单	1923
纯	1924
酒酿	1925
垫	1926
150	1927
大盘	1928
口水鸡	1929
C	1930
预订	1931
家庭聚会	1932
路线	1933
两碗	1934
或许	1935
馅儿	1936
总算	1937
汤里	1938
平常	1939
放松	1940
很长	1941
26	1942
眼睛	1943
店堂	1944
收拾	1945
太咸	1946
青岛	1947
要死	1948
很烂	1949
西湖	1950
为啥	1951
无锡	1952
菌	1953
换成	1954
中心	1955
吃面	1956
小笼包	1957
鸡块	1958
三种	1959
哈根达斯	1960
蜜汁	1961
忙不过来	1962
难怪	1963
量少	1964
鱼香肉丝	1965
杂志	1966
鲜奶	1967
花园	1968
雪糕	1969
不起眼	1970
一顿饭	1971
新出	1972
妹妹	1973
M	1974
物美价廉	1975
桂花	1976
脆骨	1977
男人	1978
买一送一	1979
价值	1980
大连	1981
70	1982
强	1983
感冒	1984
喝汤	1985
填饱	1986
没话说	1987
云吞面	1988
绿豆	1989
意	1990
哒	1991
香香的	1992
番茄酱	1993
锅里	1994
罗	1995
熬	1996
最最	1997
推销	1998
豆芽	1999
堂	2000
卖完	2001
半只	2002
接待	2003
身体	2004
冰沙	2005
综合	2006
不用说	2007
好不容易	2008
儿子	2009
椰汁	2010
一套	2011
解释	2012
嘴	2013
好味	2014
谈不上	2015
小肥羊	2016
肺片	2017
烧鸡	2018
海胆	2019
吃海鲜	2020
两块	2021
PIZZA	2022
胡同	2023
鸭肉	2024
点个	2025
好奇	2026
宝宝	2027
女人	2028
拍照	2029
腥	2030
偶然	2031
欣赏	2032
开门	2033
全家	2034
原料	2035
脏	2036
吃完饭	2037
前去	2038
不爱	2039
勉强	2040
口水	2041
香脆	2042
路口	2043
满满	2044
清炒	2045
一包	2046
两杯	2047
明亮	2048
比萨	2049
一去	2050
吃不饱	2051
配合	2052
豆豉	2053
牛筋	2054
南方	2055
很正	2056
无论是	2057
组合	2058
两层	2059
一到	2060
黄鱼	2061
西式	2062
功夫	2063
32	2064
工作人员	2065
马马虎虎	2066
类型	2067
窗口	2068
手工	2069
沒	2070
吧台	2071
不见	2072
叫外卖	2073
询问	2074
個	2075
法式	2076
年轻	2077
底下	2078
每桌	2079
变化	2080
不动	2081
好久没	2082
派	2083
顶	2084
上学	2085
麻	2086
秘制	2087
稀饭	2088
一遍	2089
就让	2090
室内	2091
要命	2092
圆子	2093
停车位	2094
总共	2095
酱汤	2096
简餐	2097
蒸蛋	2098
美好	2099
逛累	2100
自带	2101
爸妈	2102
汤圆	2103
用来	2104
西兰花	2105
街上	2106
过后	2107
区域	2108
大包	2109
太油	2110
单子	2111
擦	2112
cheese	2113
恰到好处	2114
切成	2115
当年	2116
个个	2117
收钱	2118
面筋	2119
同学聚会	2120
泰国	2121
略	2122
型	2123
发觉	2124
地上	2125
很多年	2126
牛肉丸	2127
绿	2128
煸	2129
蛮大	2130
鸭汤	2131
暴风雪	2132
浇	2133
喺	2134
亲戚	2135
泡椒	2136
想点	2137
78	2138
方式	2139
穿着	2140
超大	2141
太慢	2142
一把	2143
样	2144
喝咖啡	2145
段时间	2146
酒家	2147
店名	2148
多多	2149
沙茶	2150
500	2151
厦门	2152
橙汁	2153
挺快	2154
肉末	2155
消灭	2156
爆满	2157
货	2158
小丸子	2159
季节	2160
周日	2161
带我去	2162
抵	2163
猪肝	2164
纠结	2165
甘	2166
混合	2167
全都	2168
吃法	2169
温暖	2170
一群	2171
锅包肉	2172
老鸭	2173
使	2174
茶味	2175
来看	2176
A	2177
一回	2178
嫩嫩的	2179
厚实	2180
趁热	2181
混	2182
世界	2183
還是	2184
QQ	2185
阳光	2186
工作餐	2187
皇	2188
几片	2189
两天	2190
诶	2191
一个个	2192
分开	2193
黑色	2194
仲有	2195
变得	2196
大肠	2197
沈阳	2198
发型	2199
隔	2200
不過	2201
咸蛋	2202
猪扒	2203
偏高	2204
清新	2205
只点	2206
太辣	2207
面包店	2208
腐竹	2209
不耐烦	2210
盆	2211
机场	2212
内部	2213
语	2214
最贵	2215
泡馍	2216
改	2217
现	2218
大厨	2219
勤快	2220
差劲	2221
咔	2222
山寨	2223
未	2224
快乐	2225
烙	2226
肉馅	2227
烧卖	2228
过得去	2229
年轻人	2230
一眼	2231
荤菜	2232
帮衬	2233
二层	2234
野	2235
称	2236
欠	2237
高中	2238
搞笑	2239
历史	2240
一次性	2241
一向	2242
想来	2243
街边	2244
拿来	2245
增加	2246
红薯	2247
说好	2248
一品	2249
技术	2250
