t,rbank
2017-02-10,0.50%
2017-02-13,0.69%
2017-02-14,-0.40%
2017-02-15,1.01%
2017-02-16,0.12%
2017-02-17,-0.92%
2017-02-20,1.60%
2017-02-21,0.06%
2017-02-22,-0.01%
2017-02-23,-0.09%
2017-02-24,-0.23%
2017-02-27,-0.49%
2017-02-28,-0.01%
2017-03-01,-0.07%
2017-03-02,-0.73%
2017-03-03,-0.37%
2017-03-06,0.02%
2017-03-07,0.40%
2017-03-08,-0.14%
2017-03-09,-0.73%
2017-03-10,-0.11%
2017-03-13,0.70%
2017-03-14,0.00%
2017-03-15,-0.11%
2017-03-16,0.25%
2017-03-17,-1.04%
2017-03-20,-0.42%
2017-03-21,-0.23%
2017-03-22,-1.30%
2017-03-23,0.50%
2017-03-24,0.41%
2017-03-27,0.70%
2017-03-28,-0.36%
2017-03-29,-0.21%
2017-03-30,-0.06%
2017-03-31,0.93%
2017-04-05,0.49%
2017-04-06,-0.37%
2017-04-07,-0.01%
2017-04-10,-0.58%
2017-04-11,-0.31%
2017-04-12,-0.34%
2017-04-13,-0.53%
2017-04-14,-0.66%
2017-04-17,0.05%
2017-04-18,-1.38%
2017-04-19,-0.95%
2017-04-20,-0.52%
2017-04-21,1.13%
2017-04-24,-0.01%
2017-04-25,0.23%
2017-04-26,-0.43%
2017-04-27,0.39%
2017-04-28,0.01%
2017-05-02,-0.79%
2017-05-03,-0.61%
2017-05-04,-0.50%
2017-05-05,0.01%
2017-05-08,0.20%
2017-05-09,-0.04%
2017-05-10,0.26%
2017-05-11,0.82%
2017-05-12,2.69%
2017-05-15,-0.01%
2017-05-16,-0.59%
2017-05-17,-0.80%
2017-05-18,-0.40%
2017-05-19,0.08%
2017-05-22,0.36%
2017-05-23,1.96%
2017-05-24,-0.07%
2017-05-25,3.25%
2017-05-26,-0.25%
2017-05-31,0.22%
2017-06-01,0.51%
2017-06-02,-0.68%
2017-06-05,-1.52%
2017-06-06,0.10%
2017-06-07,0.98%
2017-06-08,0.16%
2017-06-09,0.47%
2017-06-12,-0.50%
2017-06-13,-0.32%
2017-06-14,-1.52%
2017-06-15,-0.78%
2017-06-16,-0.07%
2017-06-19,0.52%
2017-06-20,-0.04%
2017-06-21,0.36%
2017-06-22,1.76%
2017-06-23,0.49%
2017-06-26,0.00%
2017-06-27,1.15%
2017-06-28,0.43%
2017-06-29,0.41%
2017-06-30,-0.39%
2017-07-03,-0.28%
2017-07-04,-0.71%
2017-07-05,0.90%
2017-07-06,0.05%
2017-07-07,-0.93%
2017-07-10,-0.05%
2017-07-11,1.81%
2017-07-12,0.64%
2017-07-13,1.74%
2017-07-14,0.90%
2017-07-17,1.53%
2017-07-18,-0.92%
2017-07-19,0.99%
2017-07-20,-0.18%
2017-07-21,-0.94%
2017-07-24,1.21%
2017-07-25,0.11%
2017-07-26,-0.17%
2017-07-27,-0.30%
2017-07-28,0.22%
2017-07-31,-0.34%
2017-08-01,1.31%
2017-08-02,0.90%
2017-08-03,-1.56%
2017-08-04,-0.67%
2017-08-07,0.05%
2017-08-08,-0.23%
2017-08-09,-1.58%
2017-08-10,-0.34%
2017-08-11,-1.47%
2017-08-14,-0.16%
2017-08-15,1.36%
2017-08-16,-0.67%
2017-08-17,0.29%
2017-08-18,0.11%
2017-08-21,-0.12%
2017-08-22,0.69%
2017-08-23,1.51%
2017-08-24,-0.05%
2017-08-25,3.12%
2017-08-28,0.15%
2017-08-29,0.46%
2017-08-30,-0.85%
2017-08-31,-1.09%
2017-09-01,-0.64%
2017-09-04,0.94%
2017-09-05,0.85%
2017-09-06,-0.68%
2017-09-07,-0.90%
2017-09-08,0.01%
2017-09-11,-0.10%
2017-09-12,0.36%
2017-09-13,-0.65%
2017-09-14,-0.69%
2017-09-15,-0.31%
2017-09-18,-0.23%
2017-09-19,0.25%
2017-09-20,-0.10%
2017-09-21,0.67%
2017-09-22,0.02%
2017-09-25,0.24%
2017-09-26,-0.53%
2017-09-27,-0.80%
2017-09-28,-0.22%
2017-09-29,0.26%
2017-10-09,1.03%
2017-10-10,0.64%
2017-10-11,0.15%
2017-10-12,-0.05%
2017-10-13,-0.42%
2017-10-16,1.01%
2017-10-17,-0.37%
2017-10-18,0.66%
2017-10-19,0.02%
2017-10-20,-0.68%
2017-10-23,-0.99%
2017-10-24,0.52%
2017-10-25,-0.20%
2017-10-26,-0.90%
2017-10-27,1.79%
2017-10-30,-0.25%
2017-10-31,-0.99%
2017-11-01,-0.67%
2017-11-02,0.07%
2017-11-03,-0.01%
2017-11-06,-1.04%
2017-11-07,1.27%
2017-11-08,0.31%
2017-11-09,-0.41%
2017-11-10,-0.54%
2017-11-13,1.41%
2017-11-14,-0.34%
2017-11-15,-0.22%
2017-11-16,-0.57%
2017-11-17,2.83%
