t,rnbank
2018-01-12,1.01%
2018-01-15,1.45%
2018-01-16,1.01%
2018-01-17,1.34%
2018-01-18,0.32%
2018-01-19,1.11%
2018-01-22,0.35%
2018-01-23,0.28%
2018-01-24,0.41%
2018-01-25,-1.79%
2018-01-26,0.56%
2018-01-29,-2.58%
2018-01-30,-0.68%
2018-01-31,0.11%
2018-02-01,-0.14%
2018-02-02,0.43%
2018-02-05,0.45%
2018-02-06,-3.38%
2018-02-07,-2.12%
2018-02-08,-2.08%
2018-02-09,-7.31%
2018-02-12,0.04%
2018-02-13,1.91%
2018-02-14,1.08%
2018-02-22,1.44%
2018-02-23,0.99%
2018-02-26,1.48%
2018-02-27,-1.32%
2018-02-28,-1.80%
2018-03-01,0.87%
2018-03-02,-1.57%
2018-03-05,0.19%
2018-03-06,2.14%
2018-03-07,-1.00%
2018-03-08,1.26%
2018-03-09,1.03%
2018-03-12,0.79%
2018-03-13,-2.04%
2018-03-14,-0.75%
2018-03-15,1.12%
2018-03-16,-0.54%
2018-03-19,2.25%
2018-03-20,-0.05%
2018-03-21,-0.36%
2018-03-22,-0.88%
2018-03-23,-4.15%
2018-03-26,-1.40%
2018-03-27,0.49%
2018-03-28,-2.67%
2018-03-29,1.89%
2018-03-30,-0.68%
2018-04-02,0.07%
2018-04-03,-0.15%
2018-04-04,-0.45%
2018-04-09,1.29%
2018-04-10,2.44%
2018-04-11,-0.71%
2018-04-12,-1.11%
2018-04-13,-1.01%
2018-04-16,-2.52%
2018-04-17,-0.87%
2018-04-18,0.95%
2018-04-19,0.94%
2018-04-20,-2.16%
2018-04-23,1.17%
2018-04-24,2.62%
2018-04-25,-1.03%
2018-04-26,-2.81%
2018-04-27,-0.53%
2018-05-02,0.51%
2018-05-03,1.59%
2018-05-04,-1.04%
2018-05-07,1.20%
2018-05-08,1.81%
2018-05-09,-0.54%
2018-05-10,0.48%
2018-05-11,-0.87%
2018-05-14,0.99%
2018-05-15,-0.26%
2018-05-16,-1.70%
2018-05-17,-0.90%
2018-05-18,1.49%
2018-05-21,0.78%
2018-05-22,-0.93%
2018-05-23,-1.64%
2018-05-24,-0.77%
2018-05-25,-0.44%
2018-05-28,0.65%
2018-05-29,-0.88%
2018-05-30,-3.37%
2018-05-31,1.96%
2018-06-01,-0.21%
2018-06-04,1.31%
2018-06-05,1.01%
2018-06-06,-0.64%
2018-06-07,0.10%
2018-06-08,-2.02%
2018-06-11,0.57%
2018-06-12,1.07%
2018-06-13,-0.95%
2018-06-14,1.02%
2018-06-15,-0.46%
2018-06-19,-5.04%
2018-06-20,-0.55%
2018-06-21,-2.42%
2018-06-22,0.66%
2018-06-25,-1.85%
2018-06-26,-0.06%
2018-06-27,-1.87%
2018-06-28,-0.13%
2018-06-29,2.48%
2018-07-02,-4.24%
2018-07-03,1.71%
2018-07-04,-1.33%
2018-07-05,-0.41%
2018-07-06,1.56%
2018-07-09,2.61%
2018-07-10,-0.59%
2018-07-11,-2.48%
2018-07-12,2.74%
2018-07-13,-0.11%
2018-07-16,-1.01%
2018-07-17,-0.17%
2018-07-18,-0.55%
2018-07-19,0.64%
2018-07-20,3.71%
2018-07-23,1.04%
2018-07-24,1.10%
2018-07-25,0.01%
2018-07-26,-1.62%
2018-07-27,-0.12%
2018-07-30,0.31%
2018-07-31,0.18%
2018-08-01,-2.86%
2018-08-02,-2.70%
2018-08-03,-0.82%
2018-08-06,-0.55%
2018-08-07,2.96%
2018-08-08,-1.95%
2018-08-09,2.84%
2018-08-10,-0.13%
2018-08-13,-1.07%
2018-08-14,-0.40%
2018-08-15,-2.89%
2018-08-16,0.52%
2018-08-17,-0.82%
2018-08-20,1.94%
2018-08-21,1.72%
2018-08-22,0.64%
2018-08-23,1.14%
2018-08-24,0.41%
2018-08-27,1.36%
2018-08-28,-0.92%
2018-08-29,-0.26%
2018-08-30,-0.69%
2018-08-31,0.00%
2018-09-03,-0.23%
2018-09-04,1.97%
2018-09-05,-2.43%
2018-09-06,-1.20%
2018-09-07,1.17%
2018-09-10,-2.05%
2018-09-11,-0.26%
2018-09-12,-0.53%
2018-09-13,2.10%
2018-09-14,0.44%
2018-09-17,-0.82%
2018-09-18,2.22%
2018-09-19,1.12%
2018-09-20,-0.39%
2018-09-21,3.26%
2018-09-25,-0.74%
2018-09-26,0.98%
2018-09-27,-0.91%
2018-09-28,1.43%
2018-10-08,-4.61%
2018-10-09,0.02%
2018-10-10,-0.14%
2018-10-11,-5.60%
2018-10-12,0.97%
2018-10-15,-1.32%
2018-10-16,0.33%
2018-10-17,0.48%
2018-10-18,-2.38%
2018-10-19,4.52%
2018-10-22,6.20%
2018-10-23,-2.03%
2018-10-24,1.55%
2018-10-25,2.23%
2018-10-26,-2.37%
2018-10-29,-3.51%
2018-10-30,2.69%
2018-10-31,0.08%
2018-11-01,0.98%
2018-11-02,3.73%
2018-11-05,-0.67%
2018-11-06,-0.36%
2018-11-07,-1.39%
2018-11-08,-0.63%
2018-11-09,-1.38%
2018-11-12,0.76%
2018-11-13,1.44%
2018-11-14,-1.56%
2018-11-15,2.36%
2018-11-16,1.13%
2018-11-19,1.70%
2018-11-20,-3.51%
2018-11-21,-0.01%
2018-11-22,-1.12%
2018-11-23,-2.06%
2018-11-26,0.13%
2018-11-27,0.09%
2018-11-28,1.72%
2018-11-29,-2.04%
2018-11-30,1.09%
2018-12-03,2.67%
2018-12-04,0.30%
2018-12-05,-1.21%
2018-12-06,-2.30%
2018-12-07,0.13%
2018-12-10,-1.46%
2018-12-11,0.27%
2018-12-12,0.47%
2018-12-13,1.17%
2018-12-14,-2.27%
2018-12-17,-0.17%
2018-12-18,-1.22%
2018-12-19,-0.93%
2018-12-20,-0.57%
2018-12-21,-1.57%
2018-12-24,-0.49%
2018-12-25,-1.17%
2018-12-26,-1.09%
2018-12-27,-0.33%
2018-12-28,0.32%
2019-01-02,-1.19%
2019-01-03,1.52%
2019-01-04,4.04%
2019-01-07,-0.45%
2019-01-08,-0.41%
