t,rhouse
2018-08-14,-2.06%
2018-08-15,-1.12%
2018-08-16,0.86%
2018-08-17,-0.59%
2018-08-20,1.97%
2018-08-21,1.38%
2018-08-22,-0.49%
2018-08-23,-1.32%
2018-08-24,-0.13%
2018-08-27,4.10%
2018-08-28,-0.06%
2018-08-29,0.71%
2018-08-30,-1.40%
2018-08-31,1.98%
2018-09-03,-0.94%
2018-09-04,1.81%
2018-09-05,-3.06%
2018-09-06,-2.24%
2018-09-07,0.94%
2018-09-10,0.89%
2018-09-11,-0.92%
2018-09-12,-0.42%
2018-09-13,0.80%
2018-09-14,0.66%
2018-09-17,-1.43%
2018-09-18,1.33%
2018-09-19,4.51%
2018-09-20,-0.43%
2018-09-21,4.36%
2018-09-25,-4.50%
2018-09-26,0.02%
2018-09-27,-0.67%
2018-09-28,-0.13%
2018-10-08,-6.02%
2018-10-09,-0.76%
2018-10-10,0.12%
2018-10-11,-5.26%
2018-10-12,2.53%
2018-10-15,-2.40%
2018-10-16,-3.10%
2018-10-17,1.05%
2018-10-18,-1.84%
2018-10-19,4.16%
2018-10-22,4.40%
2018-10-23,-2.39%
2018-10-24,1.16%
2018-10-25,3.36%
2018-10-26,1.59%
2018-10-29,-2.41%
2018-10-30,2.85%
2018-10-31,1.31%
2018-11-01,1.04%
2018-11-02,0.41%
2018-11-05,-1.95%
2018-11-06,1.03%
2018-11-07,-1.08%
2018-11-08,-0.12%
2018-11-09,-1.19%
2018-11-12,1.48%
2018-11-13,0.80%
2018-11-14,0.91%
2018-11-15,1.12%
2018-11-16,1.48%
2018-11-19,4.09%
2018-11-20,-2.28%
2018-11-21,1.44%
2018-11-22,-1.18%
2018-11-23,-2.64%
2018-11-26,0.65%
2018-11-27,-0.80%
2018-11-28,2.62%
2018-11-29,-2.50%
2018-11-30,0.86%
2018-12-03,0.74%
2018-12-04,-2.05%
2018-12-05,0.80%
2018-12-06,-1.01%
2018-12-07,0.66%
2018-12-10,-1.73%
2018-12-11,2.71%
2018-12-12,0.99%
2018-12-13,2.41%
2018-12-14,-2.04%
2018-12-17,0.25%
2018-12-18,-3.72%
2018-12-19,-0.48%
2018-12-20,-0.23%
2018-12-21,-3.33%
2018-12-24,-0.69%
2018-12-25,-0.14%
